device_id,device_type,encryption_algorithm,data_sensitivity,data_retention_years,network_exposure,update_capable,battery_powered,cpu_mhz,ram_kb,key_rotation_days,deployment_age_years,num_connected_devices,data_volume_mb_per_day,risk_label
DEV_00109,environmental_sensor,AES-256,1,4,0,1,1,80,512,315,3,15,1.76,LOW
DEV_00110,environmental_sensor,AES-128,1,3,0,1,0,80,128,365,8,23,2.01,MEDIUM
DEV_00111,environmental_sensor,AES-128,1,3,0,0,1,80,512,99,6,13,8.86,MEDIUM
DEV_00112,environmental_sensor,ChaCha20,0,4,1,1,1,160,256,239,9,40,9.92,MEDIUM
DEV_00113,environmental_sensor,RSA-2048,1,1,0,0,1,160,128,19,1,11,6.76,HIGH
DEV_00114,environmental_sensor,AES-256,2,4,0,1,1,240,512,180,9,9,8.94,MEDIUM
DEV_00115,environmental_sensor,AES-128,2,5,1,1,1,80,64,160,1,5,7.77,MEDIUM
DEV_00116,environmental_sensor,AES-128,2,4,1,1,0,1000,256,300,9,23,1.02,MEDIUM
DEV_00117,environmental_sensor,AES-256,2,3,0,1,0,160,128,81,2,21,2.16,LOW
DEV_00118,environmental_sensor,ECC-256,0,4,1,1,0,160,16384,51,0,43,6.57,MEDIUM
DEV_00119,environmental_sensor,AES-256,1,1,0,0,1,80,256,106,9,48,7.37,LOW
DEV_00120,environmental_sensor,ChaCha20,1,2,0,1,1,240,256,95,9,31,4.24,MEDIUM
DEV_00121,environmental_sensor,ECC-256,2,2,0,1,1,160,256,247,6,32,0.75,MEDIUM
DEV_00122,environmental_sensor,AES-128,0,3,0,1,0,160,256,342,9,43,0.69,MEDIUM
DEV_00123,environmental_sensor,AES-128,1,3,0,1,1,80,128,65,2,27,1.43,MEDIUM
DEV_00124,environmental_sensor,RSA-2048,1,2,1,1,1,240,128,325,3,41,9.3,MEDIUM
DEV_00125,environmental_sensor,AES-128,0,1,0,1,0,1000,512,193,1,35,9.97,MEDIUM
DEV_00126,environmental_sensor,AES-128,1,1,0,1,0,80,8192,183,3,17,4.99,MEDIUM
DEV_00127,environmental_sensor,RSA-2048,1,5,0,1,1,80,64,317,4,40,5.93,MEDIUM
DEV_00128,environmental_sensor,AES-256,1,3,0,0,0,160,128,165,4,14,5.72,LOW
DEV_00129,environmental_sensor,AES-256,2,2,0,1,1,80,64,264,6,26,3.95,LOW
DEV_00130,environmental_sensor,AES-128,1,4,1,0,0,240,256,20,8,50,9.46,MEDIUM
DEV_00131,environmental_sensor,AES-256,3,5,1,1,1,240,64,272,6,17,8.54,LOW
DEV_00132,environmental_sensor,AES-256,1,3,0,1,0,160,256,99,0,3,1.69,LOW
DEV_00133,environmental_sensor,ECC-256,1,2,0,0,0,80,256,321,5,49,3.81,MEDIUM
DEV_00134,environmental_sensor,AES-128,2,3,0,0,1,160,128,153,5,7,1.27,MEDIUM
DEV_00135,environmental_sensor,ECC-256,2,1,0,0,1,160,256,252,3,22,1.72,MEDIUM
DEV_00136,environmental_sensor,ChaCha20,1,4,1,1,1,80,64,69,6,29,3.51,LOW
DEV_00137,environmental_sensor,AES-128,3,1,0,0,1,240,2048,232,4,45,4.35,HIGH
DEV_00138,environmental_sensor,RSA-1024,0,2,1,0,1,240,128,330,5,27,0.55,HIGH
DEV_00139,environmental_sensor,RSA-2048,2,5,1,0,1,160,2048,208,1,44,4.03,HIGH
DEV_00140,environmental_sensor,AES-256,0,1,0,1,1,2000,64,317,10,34,7.11,MEDIUM
DEV_00141,environmental_sensor,ECC-256,3,4,0,1,0,160,256,329,9,49,9.72,MEDIUM
DEV_00142,environmental_sensor,ECC-256,1,3,0,1,1,80,64,285,5,29,4.52,MEDIUM
DEV_00143,environmental_sensor,RSA-2048,1,1,1,1,0,80,256,342,0,34,9.77,MEDIUM
DEV_00144,environmental_sensor,AES-128,0,2,1,1,1,1500,256,229,1,34,2.1,MEDIUM
DEV_00145,environmental_sensor,ECC-256,1,4,0,1,1,80,128,346,9,32,3.85,MEDIUM
DEV_00146,environmental_sensor,ECC-256,1,3,0,0,1,160,128,264,2,39,1.77,MEDIUM
DEV_00147,environmental_sensor,RSA-2048,0,5,0,1,1,160,16384,178,1,5,4.83,MEDIUM
DEV_00148,environmental_sensor,AES-256,0,4,1,0,1,3000,256,328,6,25,4.81,LOW
DEV_00149,environmental_sensor,AES-128,2,4,0,1,1,1200,256,127,7,16,6.66,MEDIUM
DEV_00150,environmental_sensor,ChaCha20,3,4,0,0,1,240,256,79,4,27,7.48,MEDIUM
DEV_00151,environmental_sensor,AES-128,0,2,0,0,1,80,4096,57,6,41,2.06,MEDIUM
DEV_00152,environmental_sensor,AES-256,1,1,0,0,1,160,256,54,9,41,2.81,LOW
DEV_00153,environmental_sensor,AES-256,0,4,0,1,1,1000,512,298,6,6,4.54,LOW
DEV_00154,environmental_sensor,ECC-256,0,2,1,1,1,80,512,115,3,9,2.8,MEDIUM
DEV_00155,environmental_sensor,AES-128,1,4,0,1,0,1500,256,235,3,32,8.69,MEDIUM
DEV_00156,environmental_sensor,RSA-2048,1,3,0,0,1,80,64,175,9,30,4.99,HIGH
DEV_00157,environmental_sensor,AES-256,1,4,0,1,1,1000,512,364,6,39,8.74,LOW
DEV_00158,environmental_sensor,RSA-2048,1,1,1,0,0,160,256,109,4,31,1.78,HIGH
DEV_00159,environmental_sensor,AES-128,0,4,0,0,1,80,64,297,10,12,2.72,MEDIUM
DEV_00160,environmental_sensor,RSA-2048,0,2,0,1,1,2000,128,157,7,1,4.38,MEDIUM
DEV_00161,environmental_sensor,AES-256,2,4,0,0,1,80,256,363,8,19,0.48,LOW
DEV_00162,environmental_sensor,AES-128,1,4,1,1,0,160,64,72,8,9,4.16,MEDIUM
DEV_00163,environmental_sensor,AES-256,2,3,0,0,1,160,2048,90,7,4,7.33,LOW
DEV_00164,environmental_sensor,ECC-256,0,3,1,1,1,80,512,332,5,11,8.05,MEDIUM
DEV_00165,environmental_sensor,AES-256,0,1,1,0,1,80,512,146,2,32,0.45,LOW
DEV_00166,environmental_sensor,AES-128,1,3,1,0,0,1000,128,19,8,27,8.69,MEDIUM
DEV_00167,environmental_sensor,AES-256,1,3,1,0,0,240,128,320,8,3,5.32,LOW
DEV_00168,environmental_sensor,ECC-256,2,1,1,1,1,160,256,213,8,26,4.01,MEDIUM
DEV_00169,environmental_sensor,ECC-256,3,4,0,0,1,80,512,351,2,23,7.25,MEDIUM
DEV_00170,environmental_sensor,RSA-2048,4,2,0,1,0,80,128,320,3,31,2.91,MEDIUM
DEV_00171,environmental_sensor,ECC-256,1,4,0,1,0,160,256,241,10,15,8.31,MEDIUM
DEV_00172,environmental_sensor,AES-128,0,5,0,1,1,160,2048,12,7,38,4.02,MEDIUM
DEV_00173,environmental_sensor,RSA-2048,0,2,1,0,0,1200,128,194,8,28,7.81,HIGH
DEV_00174,environmental_sensor,HYBRID-ECC-Kyber,0,3,1,0,1,240,256,174,0,6,4.55,LOW
DEV_00175,environmental_sensor,ChaCha20,0,1,0,1,1,80,8192,330,9,9,9.23,MEDIUM
DEV_00176,environmental_sensor,AES-256,0,2,1,1,1,3000,64,49,2,2,8.29,LOW
DEV_00177,environmental_sensor,ChaCha20,2,1,0,0,1,240,128,127,6,36,4.73,MEDIUM
DEV_00178,environmental_sensor,AES-128,2,4,1,1,0,160,256,313,2,33,0.87,MEDIUM
DEV_00179,environmental_sensor,ECC-256,1,4,0,0,1,240,128,203,2,17,6.26,MEDIUM
DEV_00180,environmental_sensor,ChaCha20,1,5,0,0,1,80,128,150,1,3,0.96,LOW
DEV_00181,environmental_sensor,AES-128,1,5,1,0,1,1000,256,183,8,28,6.24,MEDIUM
DEV_00182,environmental_sensor,RSA-2048,1,5,0,0,1,160,256,337,5,26,4.99,HIGH
DEV_00183,environmental_sensor,AES-256,3,3,1,1,1,80,128,281,4,19,7.36,LOW
DEV_00184,environmental_sensor,AES-128,1,5,0,1,1,160,256,151,1,16,7.62,MEDIUM
DEV_00185,environmental_sensor,AES-128,3,5,0,0,0,80,128,92,5,18,2.7,HIGH
DEV_00186,environmental_sensor,ChaCha20,4,1,0,0,0,1500,128,193,10,19,8.35,MEDIUM
DEV_00187,environmental_sensor,AES-256,1,2,0,0,0,80,128,200,10,32,5.65,LOW
DEV_00188,environmental_sensor,AES-256,1,3,0,1,1,80,64,311,4,27,4.52,LOW
DEV_00189,environmental_sensor,AES-128,2,5,1,1,1,240,128,24,6,35,0.64,MEDIUM
DEV_00190,environmental_sensor,ChaCha20,0,1,1,0,1,160,64,294,9,23,8.94,LOW
DEV_00191,environmental_sensor,AES-128,0,3,0,1,1,240,512,219,9,10,9.54,MEDIUM
DEV_00192,environmental_sensor,HYBRID-ECC-Kyber,1,5,1,1,1,160,512,7,5,18,4.45,LOW
DEV_00193,environmental_sensor,ChaCha20,1,4,0,0,1,160,256,90,8,35,0.52,LOW
DEV_00194,environmental_sensor,AES-128,1,1,1,0,0,80,2048,7,4,27,9.26,MEDIUM
DEV_00195,environmental_sensor,RSA-2048,0,5,0,0,0,240,64,311,8,4,6.18,HIGH
DEV_00196,environmental_sensor,RSA-1024,1,4,0,0,1,240,512,173,6,27,5.15,HIGH
DEV_00197,environmental_sensor,AES-256,3,1,0,1,1,160,4096,268,8,27,2.23,LOW
DEV_00198,environmental_sensor,RSA-2048,1,1,1,0,0,80,256,361,9,33,1.59,HIGH
DEV_00199,environmental_sensor,AES-128,2,5,1,1,0,80,128,309,3,2,5.25,MEDIUM
DEV_00200,environmental_sensor,ECC-256,1,5,0,1,0,160,64,56,10,14,6.91,MEDIUM
DEV_00201,environmental_sensor,AES-128,0,3,0,1,1,80,64,225,1,35,3.8,MEDIUM
DEV_00202,environmental_sensor,ChaCha20,0,3,1,1,1,1000,128,194,0,43,5.98,LOW
DEV_00203,environmental_sensor,AES-128,1,4,0,1,0,1500,64,220,3,49,7.66,MEDIUM
DEV_00204,environmental_sensor,ChaCha20,2,3,1,0,1,160,256,54,6,27,3.43,MEDIUM
DEV_00205,environmental_sensor,RSA-2048,0,1,0,1,1,2000,256,48,4,1,0.61,MEDIUM
DEV_00206,environmental_sensor,RSA-2048,0,4,1,1,0,160,8192,95,5,49,5.09,MEDIUM
DEV_00207,environmental_sensor,RSA-2048,1,1,0,1,1,2000,64,111,3,36,0.41,MEDIUM
DEV_00208,environmental_sensor,AES-256,0,4,1,0,1,160,128,262,7,16,4.72,LOW
DEV_00209,environmental_sensor,ChaCha20,2,1,0,0,1,80,256,46,6,28,2.46,MEDIUM
DEV_00210,environmental_sensor,ECC-256,0,2,0,0,0,240,16384,125,8,25,1.71,MEDIUM
DEV_00211,environmental_sensor,AES-256,1,4,0,1,0,80,64,40,1,48,2.48,LOW
DEV_00212,environmental_sensor,AES-256,0,2,1,1,1,160,128,33,3,17,0.35,LOW
DEV_00213,environmental_sensor,AES-128,2,3,0,1,1,160,512,280,10,4,8.46,MEDIUM
DEV_00214,environmental_sensor,RSA-2048,1,1,0,1,0,80,16384,282,8,23,1.02,MEDIUM
DEV_00215,environmental_sensor,ChaCha20,0,4,0,0,0,80,128,152,8,49,0.52,LOW
DEV_00216,environmental_sensor,AES-256,0,5,0,0,1,1200,128,120,4,38,5.07,LOW
DEV_00217,environmental_sensor,RSA-2048,0,2,0,1,1,160,512,94,5,49,9.7,MEDIUM
DEV_00218,environmental_sensor,ECC-256,3,3,1,1,1,1000,256,97,9,16,9.3,MEDIUM
DEV_00219,environmental_sensor,AES-128,1,2,1,1,0,80,256,95,7,15,6.66,MEDIUM
DEV_00220,environmental_sensor,AES-128,3,2,1,1,1,240,128,58,9,24,1.13,HIGH
DEV_00221,environmental_sensor,RSA-2048,1,2,0,0,1,80,2048,346,9,33,3.22,HIGH
DEV_00222,environmental_sensor,AES-256,1,4,1,0,1,240,64,15,4,30,6.57,LOW
DEV_00223,environmental_sensor,AES-256,2,3,0,0,0,80,128,135,1,47,5.42,LOW
DEV_00224,environmental_sensor,AES-256,0,3,1,1,1,80,256,142,4,17,3.52,LOW
DEV_00225,environmental_sensor,AES-256,2,1,0,0,1,1500,512,22,4,18,4.35,LOW
DEV_00226,environmental_sensor,ChaCha20,4,5,1,1,1,1000,256,265,5,5,8.71,MEDIUM
DEV_00227,environmental_sensor,ChaCha20,1,3,0,0,1,240,128,315,8,8,6.52,LOW
DEV_00228,environmental_sensor,AES-256,0,5,0,1,1,1200,512,73,3,5,2.99,LOW
DEV_00229,environmental_sensor,RSA-2048,2,3,0,1,1,240,64,2,6,45,7.32,MEDIUM
DEV_00230,environmental_sensor,RSA-2048,2,2,0,1,1,160,128,219,5,15,8.99,MEDIUM
DEV_00231,environmental_sensor,RSA-2048,0,2,1,1,1,80,512,182,4,42,9.2,MEDIUM
DEV_00232,environmental_sensor,AES-128,0,1,1,1,0,80,64,210,4,7,5.03,MEDIUM
DEV_00233,environmental_sensor,ChaCha20,1,2,1,1,1,1200,128,208,9,28,0.78,MEDIUM
DEV_00234,environmental_sensor,AES-128,0,3,1,0,1,1200,512,33,8,4,0.34,MEDIUM
DEV_00235,environmental_sensor,AES-128,2,4,0,1,0,160,256,362,2,45,1.59,MEDIUM
DEV_00236,environmental_sensor,ECC-256,0,2,0,0,1,80,128,134,5,4,5.26,MEDIUM
DEV_00237,environmental_sensor,AES-256,1,4,1,1,1,1200,256,49,3,29,6.97,LOW
DEV_00238,environmental_sensor,ECC-256,0,3,1,1,0,3000,64,274,1,17,0.81,MEDIUM
DEV_00239,environmental_sensor,ChaCha20,2,5,1,1,0,80,64,46,3,26,5.6,MEDIUM
DEV_00240,environmental_sensor,ChaCha20,2,4,0,0,1,240,128,121,8,44,9.33,MEDIUM
DEV_00241,environmental_sensor,ChaCha20,3,3,0,1,1,80,256,25,4,7,9.32,MEDIUM
DEV_00242,environmental_sensor,Kyber-768,0,4,0,0,0,80,256,231,8,43,7.6,LOW
DEV_00243,environmental_sensor,ECC-256,2,5,0,0,0,240,256,160,6,21,7.59,MEDIUM
DEV_00244,environmental_sensor,RSA-2048,0,1,0,1,1,80,128,213,2,43,5.89,MEDIUM
DEV_00245,environmental_sensor,Kyber-768,2,1,1,0,1,240,64,100,7,6,5.32,LOW
DEV_00246,environmental_sensor,RSA-2048,2,2,0,1,0,1000,256,216,0,49,3.45,MEDIUM
DEV_00247,environmental_sensor,ECC-256,2,1,1,1,1,80,64,137,7,9,9.45,MEDIUM
DEV_00248,environmental_sensor,AES-256,0,5,0,0,1,1000,512,41,1,29,6.13,LOW
DEV_00249,environmental_sensor,RSA-2048,1,1,0,0,1,240,128,300,0,38,5.04,HIGH
DEV_00250,environmental_sensor,AES-128,2,4,0,1,1,1500,4096,195,10,3,6.46,MEDIUM
DEV_00251,environmental_sensor,AES-256,1,5,1,1,0,80,128,201,1,46,2.23,LOW
DEV_00252,environmental_sensor,AES-128,1,5,0,0,1,1500,2048,303,4,48,6.35,MEDIUM
DEV_00253,environmental_sensor,ChaCha20,1,3,1,0,1,1000,128,5,7,17,5.15,LOW
DEV_00254,environmental_sensor,AES-256,1,3,1,1,1,2000,64,117,3,31,3.01,LOW
DEV_00255,environmental_sensor,AES-256,1,1,0,1,1,80,128,170,7,13,0.41,LOW
DEV_00256,environmental_sensor,ChaCha20,2,1,0,0,1,80,64,240,8,23,9.96,MEDIUM
DEV_00257,environmental_sensor,AES-128,1,4,0,1,1,240,2048,45,8,47,9.27,MEDIUM
DEV_00258,environmental_sensor,AES-128,2,2,1,1,1,160,64,165,0,11,4.08,MEDIUM
DEV_00259,environmental_sensor,ECC-256,2,4,1,1,0,80,128,345,7,47,9.51,MEDIUM
DEV_00260,environmental_sensor,AES-256,2,3,0,1,1,240,128,244,5,40,3.58,LOW
DEV_00261,environmental_sensor,RSA-2048,2,3,0,1,1,80,2048,301,5,28,9.03,MEDIUM
DEV_00262,environmental_sensor,RSA-2048,3,2,0,1,1,240,128,106,2,3,2.49,MEDIUM
DEV_00263,environmental_sensor,AES-128,1,5,0,1,1,160,128,301,9,13,2.06,MEDIUM
DEV_00264,environmental_sensor,ECC-256,2,5,0,1,0,240,512,243,6,1,8.48,MEDIUM
DEV_00265,environmental_sensor,RSA-2048,1,2,0,1,0,160,256,39,8,27,2.34,MEDIUM
DEV_00266,environmental_sensor,ECC-256,1,5,1,1,0,1200,64,210,4,37,4.73,MEDIUM
DEV_00267,environmental_sensor,ChaCha20,1,2,0,1,1,160,512,273,4,35,3.48,LOW
DEV_00268,environmental_sensor,ECC-256,2,2,0,1,0,80,256,94,1,9,5.16,MEDIUM
